Message,sentimen_bert,sentimen_vader
siap siap buat isi full tank bro,positive,neutral
promo tebar undi apa bisa ikut,neutral,neutral
oke siap noted,negative,neutral
buat guna baru aja sih,negative,neutral
ayo ayo,positive,neutral
tanggung bangettt kak masa cuman dapat sekali doang,negative,neutral
min cashback khusus bayar via ovo aja itu dapet arti,neutral,neutral
lumayan kak tp kudu akumulasi 1 jt 7 hari,neutral,positive
min panjang dong jangan per periode 7 hari kl tiap akhir bulan min,negative,neutral
reminder kak coz suka lupa,negative,neutral
mimin double poin kapan lagi,negative,neutral
hmmm suka skip info kak saran kak kl di spbu info2 gin,negative,neutral
promonya kaleng2 emang,positive,neutral
yaudah emang banyak duit,positive,neutral
selamat hari buruh nasional,neutral,neutral
gue baru aja redeem poin jadi voucher makan,neutral,neutral
untung gw beli evoucherbesok sekali dah full in 1 jt,positive,positive
banyak promo kayak gin kak gue sukaaa,positive,neutral
udah isi bro anto segera donlod my pertamina gihh banyak promonya,positive,neutral
gw aja pake supra x 125 2006 always shell super ato minimal pertamax,neutral,positive
pertamax sini tetep ngantri beli turbo baru ngantri,neutral,neutral
lebih irit green 95 d banding pertamax 92,positive,neutral
serius nanya fast track tuh semua pertamax cuma pertamax turbo gw jakarta bandung semarang diri beli turbo suruh nyelak cuma isi pertamax jogja solo malah pukul rata jadi mana bener kok pilih kasih,negative,neutral
shell nyala abang,neutral,neutral
beat karbu gue aja pake pertamax terus,neutral,neutral
salah satu lebih pake jalur fast track xixixixi,neutral,neutral
sederhana bikin temen suka,positive,neutral
beli pertamax pom bensin asa jadi beli vvip,neutral,neutral
gak semua pom pertamina jalan sop nya resin dlu lah minimal para karyawan tegas sesuai sop,neutral,neutral
paling antri cuman 12 motor aja sampe paanjaaaanngg,negative,neutral
privilage kalo motor isi bensin pakai pertamax antri,neutral,neutral
enak jalur prioritas,positive,neutral
beli pertamax pake mypertamina dapat cashback,neutral,neutral
min program gratis evouchernya jangan tanggal 7 dong panjang akhir bulan,neutral,positive
iyaa kdng kalo ngisi pertamax asa spesial org antri panjang langsung aja g prlu ngntri wkwk,neutral,neutral
selamat hari didik nasional,neutral,neutral
omg kejut tgl 2 mei,neutral,neutral
yeee gatau kalo ad promo kemarin abis isi bengsin,negative,neutral
hari maksimal isi brp liter pertamax mw ajak sodara buat isi bensin tp pake aplikasi punya,neutral,neutral
pantesan tadi abis isi pom palasah poin mayan banyak,positive,neutral
gue follow akun kamu kak biar dapat info kaya gin,neutral,neutral
